symbol,name,market,asset_type,kospi200
002810,삼영무역,KOSPI,STOCK,N
002820,SUN&L,KOSPI,STOCK,N
002826,삼성물산우B,KOSPI,STOCK,N
002840,미원상사,KOSPI,STOCK,N
002870,신풍,KOSPI,STOCK,N
002880,대유에이텍,KOSPI,STOCK,N
002900,TYM,KOSPI,STOCK,N
002920,유성기업,KOSPI,STOCK,N
002960,한국쉘석유,KOSPI,STOCK,N
002990,금호건설,KOSPI,STOCK,N
002995,금호건설우,KOSPI,STOCK,N
003000,부광약품,KOSPI,STOCK,N
003010,혜인,KOSPI,STOCK,N
003030,세아제강지주,KOSPI,STOCK,Y
003060,에이프로젠바이오로직스,KOSPI,STOCK,N
003070,코오롱글로벌,KOSPI,STOCK,N
003075,코오롱글로벌우,KOSPI,STOCK,N
003080,SB성보,KOSPI,STOCK,N
003090,대웅,KOSPI,STOCK,Y
003120,일성아이에스,KOSPI,STOCK,N
003160,디아이,KOSPI,STOCK,N
003200,일신방직,KOSPI,STOCK,N
003220,대원제약,KOSPI,STOCK,N
003230,삼양식품,KOSPI,STOCK,Y
003240,태광산업,KOSPI,STOCK,Y
003280,흥아해운,KOSPI,STOCK,N
003300,한일홀딩스,KOSPI,STOCK,N
003350,한국화장품제조,KOSPI,STOCK,N
003460,유화증권,KOSPI,STOCK,N
003465,유화증권우,KOSPI,STOCK,N
003470,유안타증권,KOSPI,STOCK,N
003473,SK우,KOSPI,STOCK,N
003475,유안타증권우,KOSPI,STOCK,N
003480,한진중공업홀딩스,KOSPI,STOCK,N
003490,대한항공,KOSPI,STOCK,Y
003495,대한항공우,KOSPI,STOCK,N
003520,영진약품,KOSPI,STOCK,N
003530,한화투자증권,KOSPI,STOCK,Y
003535,한화투자증권우,KOSPI,STOCK,N
003540,대신증권,KOSPI,STOCK,Y
003545,대신증권우,KOSPI,STOCK,N
003547,대신증권2우B,KOSPI,STOCK,N
003550,LG,KOSPI,STOCK,Y
003555,LG우,KOSPI,STOCK,N
003570,SNT다이내믹스,KOSPI,STOCK,Y
003580,HLB글로벌,KOSPI,STOCK,N
003610,방림,KOSPI,STOCK,N
003620,KG모빌리티,KOSPI,STOCK,N
0036221,KG모빌리티 122WR,KOSPI,STOCK,N
003650,미창석유,KOSPI,STOCK,N
003670,포스코퓨처엠,KOSPI,STOCK,Y
003680,한성기업,KOSPI,STOCK,N
003690,코리안리,KOSPI,STOCK,Y
003720,삼영,KOSPI,STOCK,N
003780,진양산업,KOSPI,STOCK,N
003830,대한화섬,KOSPI,STOCK,N
003850,보령,KOSPI,STOCK,N
003920,남양유업,KOSPI,STOCK,N
003925,남양유업우,KOSPI,STOCK,N
003960,사조대림,KOSPI,STOCK,N
004000,롯데정밀화학,KOSPI,STOCK,Y
004020,현대제철,KOSPI,STOCK,Y
004060,SG세계물산,KOSPI,STOCK,N
004080,신흥,KOSPI,STOCK,N
004090,한국석유,KOSPI,STOCK,N
004100,태양금속,KOSPI,STOCK,N
004105,태양금속우,KOSPI,STOCK,N
004140,동방,KOSPI,STOCK,N
004150,한솔홀딩스,KOSPI,STOCK,N
004170,신세계,KOSPI,STOCK,Y
004250,NPC,KOSPI,STOCK,N
004255,NPC우,KOSPI,STOCK,N
004270,남성,KOSPI,STOCK,N
004310,현대약품,KOSPI,STOCK,N
004360,세방,KOSPI,STOCK,N
004365,세방우,KOSPI,STOCK,N
004370,농심,KOSPI,STOCK,Y
004380,삼익THK,KOSPI,STOCK,N
004410,서울식품,KOSPI,STOCK,N
004415,서울식품우,KOSPI,STOCK,N
004430,송원산업,KOSPI,STOCK,N
004440,삼일씨엔에스,KOSPI,STOCK,N
004450,삼화왕관,KOSPI,STOCK,N
004490,세방전지,KOSPI,STOCK,Y
004540,깨끗한나라,KOSPI,STOCK,N
004545,깨끗한나라우,KOSPI,STOCK,N
004560,현대비앤지스틸,KOSPI,STOCK,N
004690,삼천리,KOSPI,STOCK,N
004700,조광피혁,KOSPI,STOCK,N
004710,한솔테크닉스,KOSPI,STOCK,N
004720,팜젠사이언스,KOSPI,STOCK,N
004770,써니전자,KOSPI,STOCK,N
004800,효성,KOSPI,STOCK,Y
004830,덕성,KOSPI,STOCK,N
004835,덕성우,KOSPI,STOCK,N
004840,DRB동일,KOSPI,STOCK,N
004870,티웨이홀딩스,KOSPI,STOCK,N
004890,동일산업,KOSPI,STOCK,N
004910,조광페인트,KOSPI,STOCK,N
004920,씨아이테크,KOSPI,STOCK,N
004960,한신공영,KOSPI,STOCK,N
004970,신라교역,KOSPI,STOCK,N
004980,성신양회,KOSPI,STOCK,N
004985,성신양회우,KOSPI,STOCK,N
004990,롯데지주,KOSPI,STOCK,Y
005010,휴스틸,KOSPI,STOCK,N
005030,부산주공,KOSPI,STOCK,N
005070,코스모신소재,KOSPI,STOCK,Y
005090,SGC에너지,KOSPI,STOCK,N
005110,한창,KOSPI,STOCK,N
005180,빙그레,KOSPI,STOCK,Y
005250,녹십자홀딩스,KOSPI,STOCK,N
005257,녹십자홀딩스2우,KOSPI,STOCK,N
005300,롯데칠성,KOSPI,STOCK,Y
005305,롯데칠성우,KOSPI,STOCK,N
005320,온타이드,KOSPI,STOCK,N
005360,모나미,KOSPI,STOCK,N
005380,현대차,KOSPI,STOCK,Y
005385,현대차우,KOSPI,STOCK,N
005387,현대차2우B,KOSPI,STOCK,N
005389,현대차3우B,KOSPI,STOCK,N
005420,코스모화학,KOSPI,STOCK,N
005430,한국공항,KOSPI,STOCK,N
005440,현대지에프홀딩스,KOSPI,STOCK,Y
005490,POSCO홀딩스,KOSPI,STOCK,Y
005500,삼진제약,KOSPI,STOCK,N
005610,SPC삼립,KOSPI,STOCK,N
005680,삼영전자,KOSPI,STOCK,N
005690,파미셀,KOSPI,STOCK,N
005720,넥센,KOSPI,STOCK,N
005725,넥센우,KOSPI,STOCK,N
005740,크라운해태홀딩스,KOSPI,STOCK,N
005745,크라운해태홀딩스우,KOSPI,STOCK,N
005750,대림바스,KOSPI,STOCK,N
005800,신영와코루,KOSPI,STOCK,N
005810,풍산홀딩스,KOSPI,STOCK,N
005820,원림,KOSPI,STOCK,N
005830,DB손해보험,KOSPI,STOCK,Y
005850,에스엘,KOSPI,STOCK,Y
005870,휴니드,KOSPI,STOCK,N
005880,대한해운,KOSPI,STOCK,N
005930,삼성전자,KOSPI,STOCK,Y
005935,삼성전자우,KOSPI,STOCK,N
005940,NH투자증권,KOSPI,STOCK,Y
005945,NH투자증권우,KOSPI,STOCK,N
005950,이수화학,KOSPI,STOCK,N
005960,동부건설,KOSPI,STOCK,N
005965,동부건설우,KOSPI,STOCK,N
006040,동원산업,KOSPI,STOCK,Y
006060,화승인더,KOSPI,STOCK,N
006090,사조오양,KOSPI,STOCK,N
006110,삼아알미늄,KOSPI,STOCK,N
006120,SK디스커버리,KOSPI,STOCK,Y
006125,SK디스커버리우,KOSPI,STOCK,N
006200,한국전자홀딩스,KOSPI,STOCK,N
006220,제주은행,KOSPI,STOCK,N
006260,LS,KOSPI,STOCK,Y
006280,녹십자,KOSPI,STOCK,Y
006340,대원전선,KOSPI,STOCK,N
006345,대원전선우,KOSPI,STOCK,N
006360,GS건설,KOSPI,STOCK,Y
006370,대구백화점,KOSPI,STOCK,N
006380,카프로,KOSPI,STOCK,N
006400,삼성SDI,KOSPI,STOCK,Y
006405,삼성SDI우,KOSPI,STOCK,N
006490,인스코비,KOSPI,STOCK,N
006570,대림통상,KOSPI,STOCK,N
006650,대한유화,KOSPI,STOCK,N
006660,삼성공조,KOSPI,STOCK,N
006740,블루산업개발,KOSPI,STOCK,N
006800,미래에셋증권,KOSPI,STOCK,Y
006805,미래에셋증권우,KOSPI,STOCK,N
006840,AK홀딩스,KOSPI,STOCK,N
006880,신송홀딩스,KOSPI,STOCK,N
006890,태경케미컬,KOSPI,STOCK,N
006980,우성,KOSPI,STOCK,N
007070,GS리테일,KOSPI,STOCK,Y
007110,일신석재,KOSPI,STOCK,N
007120,미래아이앤지,KOSPI,STOCK,N
007160,사조산업,KOSPI,STOCK,N
007210,벽산,KOSPI,STOCK,N
007280,한국특강,KOSPI,STOCK,N
